v_code_2011,m_bu,m_nl,s_bu,s_nl,labels,labels,labels,labels
219109,0.0997459462291586,0.02220156754789038,992.9372549019604,224.23174018006694,12,14,12,12
219118,0.029466101977523626,0.007459326950561082,69.30196078431374,17.543751942468624,12,13,12,12
219122,0.35423475771214696,0.07495309622730524,7307.968627450975,1862.7293505679156,12,13,12,12
219132,0.061171919230043434,0.0016107661379079798,25.423529411764708,5.881065087750847,12,14,12,12
219133,0.0672316264933091,0.017789305214777753,249.82745098039217,106.73701724234749,12,14,12,12
219137,0.049331670713832564,0.010249169252497532,17.686274509803923,18.831542234794767,12,12,12,12
219138,0.020000878515893817,0.01000306176980795,10.713725490196078,5.358267527000577,12,13,12,11
219139,0.11680528208882611,0.12523467988126127,201.46666666666664,216.00575809198264,12,14,13,11
219140,0.015415073523855585,0.0016940782611026574,8.0,3.1733075380325317,12,12,12,12
219141,0.03717515412518557,0.026576178299867373,118.92156862745098,85.01594373759102,12,13,12,11
219142,0.03379529885429576,0.020923526201055205,142.46666666666667,88.20472473490472,12,12,13,12
219143,0.025870499456817533,0.015157632667645136,48.654901960784315,28.507108362282025,12,13,12,12
219144,0.0620715369479587,0.03553760799995188,65.93725490196078,37.75083448092143,12,14,12,12
219145,0.06161966476721695,0.03297370691567394,429.06666666666666,229.60070567405688,12,14,12,11
219146,0.0705792705928508,0.01551558645242583,73.37254901960785,17.36248884919812,12,14,12,12
219147,0.25594198612978625,0.07363756181190001,719.5803921568623,207.03186064678079,12,14,12,11
219148,0.07673146528935705,0.03056809335717966,118.3843137254902,47.16165318021587,12,13,12,11
219149,0.20994491128884432,0.060241867325013035,682.6980392156862,195.89426792486037,12,14,13,12
219150,0.11514950701639702,0.0709106315805694,252.12549019607843,155.26230385700862,12,14,12,11
219151,0.0427579165829819,0.02114122756154231,100.1843137254902,49.53513977831486,12,14,12,12
219152,0.08782990077151481,0.03770243764782848,175.04705882352943,75.14184534830206,12,14,12,11
219153,0.18983192275598998,0.058884467312917466,174.86274509803917,54.241138415944334,12,15,12,12
219154,0.09973878740857046,0.041186057779429366,382.1294117647059,157.7962239273038,12,14,12,11
219155,0.06889039013680127,0.022127178503201585,95.9764705882353,30.82706445116623,12,14,12,11
219156,0.06546604772633409,0.019934180323583683,103.8078431372549,31.60912161294152,12,12,12,11
219157,0.04789358752067692,0.01295560289368984,131.93725490196078,35.69019646410849,12,13,12,12
219158,0.08169609286463236,0.03359480029271515,241.9921568627451,99.51122381920908,12,14,12,11
219159,0.04196609257340524,0.016616863402855894,118.65098039215687,46.980955645149834,12,14,12,12
219160,0.07342363977336369,0.02737685396965591,144.47843137254904,53.87045547810255,12,14,13,11
219161,0.04224107976405281,0.015418956580134683,39.568627450980394,14.443450593831493,12,15,12,11
219162,0.10683657015653764,0.0429612823559692,88.08235294117647,35.41980830851723,12,14,12,12
219163,0.03280226455186172,0.016270723181442515,86.93333333333334,43.12105341600437,12,14,13,12
219164,0.06542141556179466,0.0504895117777567,193.54117647058823,149.3669836548029,12,14,13,12
219165,0.042036448811981354,0.01378956698901287,67.0,21.97856894135475,12,13,12,12
219166,0.039098310526244,0.019020994617053113,247.19607843137254,120.25878391967102,12,14,12,12
219167,0.03822441430332909,0.04571877734588786,341.0,407.857212702667,12,14,12,11
219168,0.0467440556167512,0.03435849242517186,136.2941176470588,100.18087534308434,12,14,12,12
219169,0.02308681025614706,0.023179172137823282,127.0,127.50808053788016,12,14,12,11
219170,0.043188444369170444,0.03312318036205458,98.0,75.16065287590027,12,14,12,12
219171,0.01389402295791379,0.006890589837680298,22.109803921568627,10.965117207344841,12,15,12,12
219172,0.047032684689679964,0.02897005325396642,94.47058823529413,58.18970339812484,12,14,12,11
219173,0.040977319356186516,0.028852115132840597,77.30588235294118,54.43104266302257,12,13,12,11
219174,0.05912522633851032,0.07610676327949158,440.3686274509803,566.8482466898713,12,14,12,11
219175,0.047328022825116604,0.054412996230765585,124.11764705882354,142.69797592303328,12,14,13,12
219176,0.023492641672579563,0.012099723658114424,96.21176470588236,49.553208269441825,12,14,12,11
219177,0.029263666947860943,0.015126721658574873,57.0,29.46394708752632,12,13,12,12
219178,0.03711829986810642,0.0220928025436235,129.23529411764707,76.92081385067866,12,12,12,12
219179,0.0281221113864442,0.016671475497948753,183.13725490196077,108.56824425108293,12,14,12,12
219180,0.01834816242949694,0.008773767582558545,30.04313725490196,14.36609822581796,12,12,12,12
219181,0.01599062717129307,0.00798304024063666,56.94901960784314,28.4307995130034,12,13,13,11
219182,0.02008453261363758,0.009770156228467998,51.450980392156865,25.028419939326305,12,14,12,12
219183,0.0454258933091536,0.022536572486908716,126.32549019607843,62.67226375434913,12,12,12,12
219184,0.029967689682951777,0.014241521401440548,68.12549019607843,32.37522267734303,12,15,12,11
219185,0.02093328941941647,0.006580240249974058,83.0,26.090497761964798,12,13,12,12
219186,0.01915366130251647,0.006577197854805551,66.76470588235294,22.92640938828973,12,13,12,12
219187,0.03820861551920348,0.015190440111799326,161.68627450980392,64.28093864345084,12,14,12,12
219188,0.06114269991983109,0.02683091377495836,323.3137254901961,141.8779789290007,12,14,12,11
219189,0.050350392030545386,0.016307127182084286,251.3294117647059,81.39878394112866,12,14,12,11
219190,0.1090439212429582,0.04221646604622106,276.0,106.85368332266808,12,14,13,12
219191,0.0573845203707186,0.021385134745330305,218.99215686274508,81.61045439477058,12,14,12,12
219192,0.0408769448373409,0.013551262173518892,102.0,33.814384788274765,12,14,12,12
219193,0.03983249923399042,0.014719027011992179,64.23529411764706,23.73642245460959,12,14,12,12
