,V_CODE2011,water,nightlights,totalArea,urban,20urban
,244678,0,1.43E+07,3909152.075,0,0
,244256,4681.06305,1.43E+07,2856034.249,0,0
,245145,0,1.43E+07,1919273.796,0,0
,245092,0,1.42E+07,1577539.808,0,0
,244687,5677.40625,1.41E+07,2229753.08,0,0
,245135,30743.72944,1.39E+07,3791640.708,0,0
,244689,0,1.39E+07,940402.4451,642310.8681,12846217.36
,245042,14090.95219,1.39E+07,967713.8092,55201.54002,1104030.8
,245035,10552.1109,1.37E+07,1188943.683,0,0
,244626,0,1.35E+07,2140200.674,0,0
,244583,2887.725294,1.35E+07,484418.999,401189.4958,8023789.916
,244654,0,1.35E+07,3239504.807,0,0
,245028,13799.48737,1.33E+07,2028182.174,0,0
,245150,100701.1716,1.32E+07,2087861.724,0,0
,244580,0,1.32E+07,654581.8717,0,0
,244682,0,1.31E+07,2324393.092,0,0
,245146,8931.731995,1.29E+07,1536425.703,0,0
,244880,9730.11261,1.28E+07,2085244.444,0,0
,244593,0,1.27E+07,1595556.249,0,0
,245100,6048.514867,1.24E+07,2288311.778,0,0
,245033,0,1.24E+07,812967.4095,0,0
,244897,0,1.22E+07,3517911.468,0,0
,244754,2429.81543,1.22E+07,4962086.79,529522.6281,10590452.56
,245037,1623.525757,1.21E+07,754013.397,0,0
,245014,0,1.21E+07,4288089.977,0,0
,245095,0,1.21E+07,2420421.879,0,0
,245085,0,1.19E+07,1265706.842,0,0
,244647,0,1.19E+07,1510535.266,519628.0574,10392561.15
,245015,811.4483032,1.19E+07,2287276.55,0,0
,244877,0,1.18E+07,3090997.997,0,0
,244245,57071.66577,1.17E+07,5754570.832,412061.0808,8241221.616
,244939,2433.418701,1.16E+07,1727355.805,14.08858858,281.7717716
,244832,0,1.16E+07,1673120.075,0,0
,245070,0,1.15E+07,1955421.59,0,0
,245077,0,1.14E+07,1449447.024,0,0
,244254,6046.12856,1.14E+07,1305573.38,0,0
,244526,810.7910767,1.13E+07,1980076.662,188814.1385,3776282.769
,244884,0,1.13E+07,2308579.365,0,0
,244828,42954.74588,1.11E+07,1466200.412,348.6975909,6973.951818
,244896,0,1.10E+07,1153317.565,147037.5909,2940751.817
,244572,0,1.10E+07,1096551.535,0,0
,244648,1315.756959,1.08E+07,2139319.387,0,0
,245115,0,1.07E+07,1010629.74,88450.03241,1769000.648
,244397,0,1.07E+07,1811587.366,0,0
,245136,1623.571167,1.07E+07,1917885.894,0,0
,244881,0,1.06E+07,1218979.992,356048.169,7120963.379
,244251,0,1.05E+07,2827457.615,0,0
,244840,171003.014,1.01E+07,1709610.361,0,0
,244831,0,1.01E+07,1240482,0,0
,244946,811.4692993,1.01E+07,5599997.956,0,0
,244385,0,9720322.013,1817495.921,140896.1793,2817923.587
,244685,27578.73181,9639936.352,1170324.191,0,0
,244579,0,9635360.42,349502.3308,0,0
,244359,0,9581933.668,1920531.126,0,0
,244993,80812.80325,9567802.205,6257857.887,0,0
,244528,0,9304395.474,1759072.306,0,0
,244957,0,9264659.073,1764907.742,0,0
,244888,0,9255368.838,1563482.882,0,0
