system:index,m_bu,m_nl,s_bu,s_nl,v_code_2011,.geo
9293,0.08095927494124762,0.05008725233827654,320.1764705882353,198.08427986502647,217324,
9301,0.09019064458316797,0.05927874271013564,735.1333333333332,483.1740578605848,217449,
9205,0.08696749806063962,0.04598658860087045,705.1843137254904,372.886671989455,217447,
10672,0.07798430922069977,0.0828650182067731,484.5333333333334,514.8582309657452,217455,
9244,0.08482805347115845,0.09191154674355821,665.7764705882353,721.3715592099171,217362,
9255,0.08619450723670462,0.29104434333476636,567.7686274509803,1917.127351151962,217363,
9235,0.01846964057497054,0.015693525479804005,58.20392156862745,49.45546841878517,217361,
9242,0.027524482234374637,0.030083002189946327,99.89411764705882,109.179708971463,217459,
9227,0.03537426774938495,0.02310579654997084,97.49411764705883,63.68129690009005,217456,
9233,0.04334870009973036,0.03440622725697457,381.9882352941175,303.1872698093162,217457,
9312,0.036743628989089054,0.030523443984975154,336.7490196078431,279.7420973319633,217460,
9219,0.03649149145081607,0.019049731363631264,193.6941176470589,101.11455468640608,217450,
9204,0.038391552893544595,0.01405421580534616,255.9137254901961,93.68380423585573,217445,
9285,0.0324789018272816,0.011486744652695481,122.86666666666669,43.45399465268734,217433,
9223,0.04709280485700047,0.027123810405830086,618.4666666666667,356.21519380574136,217432,
9203,0.02808141299473165,0.017732682404966914,97.23921568627452,61.40403723260937,217407,
9282,0.0192719087116548,0.006937746432000904,44.61960784313726,16.062733055797278,217406,
9225,0.0298420112266288,0.01847932605412285,207.9607843137255,128.7773505150103,217402,
9310,0.03638158630168551,0.026845506876448662,492.65490196078434,363.52374656328976,217400,
9247,0.024780919920067142,0.04127414508238272,168.50588235294114,280.65690288754064,217389,
9254,0.32148219309682297,1.8350547494883735,918.6196078431373,5243.578992998836,217373,
9417,0.13621389353067573,0.5124611724782719,559.4117647058823,2104.607697560273,217358,
9358,0.03699009445615227,0.0291241756054023,603.035294117647,474.8002420744475,217206,
9477,0.015558055243094568,0.008905343252986822,146.4470588235294,83.82547219664443,217192,
9423,0.03724739269166483,0.03639518165092207,159.58039215686273,155.92923264596976,217207,
9437,0.03574031282525831,0.024797235237027905,310.7960784313727,215.635590692478,217204,
9379,0.0635226955818038,0.053390494811611657,345.6862745098039,290.5475133984697,217092,
10674,0.03790846734611425,0.016995918562009996,436.4549019607843,195.68060881986338,217374,
9354,0.01866528173571655,0.006671363494599581,81.88627450980393,29.267873381633386,217094,
9448,0.026326796098657762,0.01464867076139411,299.9137254901961,166.87702541035762,217079,
9433,0.03061851494324245,0.01467009509827528,130.7294117647059,62.635725680519556,217078,
10673,0.01626458205869438,0.008540438504700747,196.3019607843137,103.07703071499571,217374,
9421,0.04975443236095741,0.025710669916944633,202.45098039215688,104.61681671820433,217387,
9346,0.032123453914929385,0.014981556122274687,138.4745098039216,64.58096460068927,217201,
9416,0.057555557371104606,0.0196357793880311,359.14509803921567,122.52672435991902,217396,
9300,0.024117452622300594,0.013456907762586427,85.83921568627451,47.896037197346786,217381,
9305,0.039989522510231836,0.03758780863216751,359.2196078431372,337.6453888159172,217380,
9308,0.053306474265357506,0.03483068262385924,403.3686274509804,263.5628192783571,217401,
9295,0.023823362769615403,0.010552422099204845,267.78431372549016,118.61352812799753,217379,
9220,0.00937633606048375,0.0019146161593191478,85.91764705882355,17.54409338235855,217377,
9288,0.0,0.0,0.0,0.0,217414,
9292,0.001743516298763972,1.4952436239139912E-4,14.054901960784314,2.7352526794461647,217412,
9304,0.050737093662722055,0.05898793630523124,276.41568627450977,321.3662769908998,217383,
9232,0.0027516797836064635,4.1172217290341646E-4,18.0,3.4759361892938614,217041,
9226,0.0029131537459729947,2.6098039457641506E-4,8.0,1.4872382283210754,217408,
9214,8.883819498903774E-4,1.811069832894581E-4,10.0,2.3144471049308777,217410,
10678,0.0550946060174942,0.0111759184175395,680.6627450980392,138.0721609418299,217038,
9382,0.02138736063636779,0.008582254492236555,171.0,68.61835563182831,217072,
10661,0.03698424680175045,0.006210725361280778,293.97254901960787,49.366498539319224,217035,
9349,0.07894046225858241,0.014394990369073416,942.5098039215685,171.86901573702403,217036,
9526,0.02337151703930927,0.012776214211947167,223.1254901960785,121.97321440863844,217117,
9772,0.04173927231784278,0.024264990101025608,363.1490196078431,211.11550050225912,216966,
9522,0.03153532678783294,0.0187714451854498,71.92156862745098,42.811409319615834,217118,
9539,0.011189035188233092,0.004932429932878838,33.69803921568627,14.85500890028243,217130,
9774,0.00720646311713033,0.002184180374251064,31.0,9.395675867795944,217127,
9510,0.02391835921796569,0.010148891087833407,127.16078431372549,53.95608197380515,217095,
9732,0.057786779606543826,0.030025610061886903,210.121568627451,109.177710337148,217115,
9467,0.019153169165496083,0.004984006871085742,65.50196078431372,17.044814870988624,217101,
9716,0.019604533367260944,0.008673132873986349,61.03137254901961,27.00055102986448,217067,
9410,0.01600921756468161,0.01169646707988528,55.79607843137255,40.76507748879639,217065,
9712,0.025768180842253807,0.024908461655787403,82.36470588235295,79.61672307486627,217063,
9476,0.03299878474306956,0.024027932398293757,259.71764705882356,189.1123601902934,217085,
9755,0.01971387644760342,0.010093738536806163,80.90196078431373,41.422763373921896,217153,
9529,0.01727012179504165,0.009478378088666974,61.345098039215685,33.66809105358872,217144,
9536,0.032246140516512735,0.015693313206805743,107.41960784313726,52.278180378558595,217142,
9837,0.03321858588679127,0.0349500886566768,89.57254901960783,94.2414749414313,216768,
9781,0.013544225497397932,0.010600421878060526,92.47843137254903,72.37847504522287,216781,
9853,0.04087579759405284,0.017931076890567662,234.38823529411764,102.81960760845857,216796,
9615,0.09187123695380109,0.19688820581872332,432.39215686274514,926.654726741127,216772,
9637,0.03376495070005575,0.022687419764284927,229.45098039215685,154.17320622579726,216797,
9880,0.05022547557724455,0.023529191793322867,217.9490196078431,102.1028516819664,216798,
9680,0.043069848797194776,0.027530152241108725,373.11764705882354,238.49597605373344,216701,
9638,0.02023008605748292,0.011414982370730827,179.10980392156864,101.06409079923348,216758,
9857,0.037556316841809295,0.035989115936315645,150.34117647058824,144.06753603640726,216769,
9668,0.09372757092777018,0.09803945543737294,495.7254901960785,518.5310642767186,216742,
9872,0.04185886186595626,0.0400473958397087,245.72941176470587,235.09533187770379,216767,
9603,0.018288896703012623,0.016260500506282104,93.21176470588237,82.8737770136665,216836,
