system:index,B1,B10,B10_1,B11,B11_1,B1_1,B2,B2_1,B3,B3_1,B4,B4_1,B5,B5_1,B6,B6_1,B7,B7_1,B8,B8_1,B9,B9_1,BQA,BQA_1,class,stable_lights,.geo
3451_0,0.16347986,308.3038,293.62073,306.12595,292.65314,0.17336838,0.15216401,0.15168239,0.14938799,0.12859249,0.15632805,0.120169014,0.23346873,0.17145666,0.22979872,0.16658777,0.1937574,0.14373684,0.14724715,0.13474582,0.001364484,0.0011052025,2720,2720,2.0,60,
2463_0,0.1549871,307.67996,293.9125,305.24304,292.8215,0.17044108,0.14101285,0.1483369,0.14030708,0.12856263,0.13522553,0.11628585,0.27875564,0.23953153,0.24607848,0.19135042,0.17874801,0.14057057,0.10810044,0.11398582,0.001152753,7.467565E-4,2720,2720,2.0,62,
2463_1,0.15185818,307.69977,293.87546,305.22714,292.78668,0.1712177,0.13383752,0.14935249,0.12701507,0.12730807,0.112570316,0.11783912,0.27776757,0.2136338,0.21380126,0.17306967,0.15374023,0.123604126,0.13026161,0.120736554,0.001576215,8.662385E-4,2720,2720,2.0,62,
12955_0,0.16025685,309.12292,295.01343,306.8542,293.57648,0.17169563,0.14990555,0.15003952,0.156728,0.13116136,0.16418563,0.12503791,0.28654262,0.24081597,0.3031282,0.2469693,0.23450385,0.17925286,0.14313015,0.12784573,0.0012703814,0.0015233895,2720,2720,2.0,54,
10865_0,0.15778665,307.4728,294.20105,305.29343,293.01282,0.17967105,0.14710599,0.1592695,0.1440006,0.13776274,0.1505878,0.124888554,0.25746492,0.21954817,0.23045744,0.19836998,0.17178442,0.14830703,0.14915273,0.13148993,0.0013880096,0.001135073,2720,2720,2.0,57,
5332_0,0.14489459,307.69095,293.74692,305.41263,292.67056,0.16386956,0.12833251,0.14161603,0.1198868,0.11586767,0.122027636,0.107025996,0.24549034,0.18250875,0.23281,0.17862558,0.16945538,0.133551,0.10353646,0.100335,0.0011762787,0.0012246845,2720,2720,2.0,54,
5332_1,0.16602063,307.9461,293.81613,305.64023,292.76926,0.1715164,0.15268157,0.14992003,0.15051721,0.12638208,0.1611273,0.12351451,0.24149098,0.16793194,0.24901919,0.1798204,0.20076804,0.14484204,0.13322586,0.11643521,0.0015291637,0.00155326,2720,2720,2.0,54,
8444_0,0.12743853,304.06134,290.5715,302.22357,289.78064,0.15284735,0.108123966,0.12599376,0.09577299,0.10571169,0.093961515,0.07315285,0.23233949,0.32182476,0.1722314,0.12874185,0.11188807,0.06275792,0.09198536,0.09322582,0.0011998044,0.0016428715,2720,2720,2.0,29,
8444_1,0.12802668,304.3149,290.4824,302.39136,289.6915,0.15159278,0.11075884,0.12455998,0.10125447,0.10362076,0.103348255,0.06980735,0.23436269,0.36609286,0.18044187,0.12399244,0.11812238,0.056305885,0.09946652,0.09023877,7.528166E-4,0.0015831306,2720,2720,2.0,29,
11375_0,0.16733807,307.58743,292.64603,305.25632,291.82846,0.17429437,0.16270351,0.15529673,0.19032265,0.1577461,0.21290728,0.16177863,0.32423076,0.2739125,0.34686244,0.27029815,0.292377,0.2197274,0.2282225,0.17629568,0.00122333,0.0012545551,2720,2720,2.0,27,
